host_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,security_deposit,cleaning_fee,guests_included,extra_people,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,reviews_per_month,host_sinceyear,property_type_Hotel,room_type_Private room,price
2.0,43.78257,11.23669,2,1.0,1.0,300.0,15.0,1,15.0,0,0,0,0,40,0,96.0,0.61,2011.0,0,1,40.0
2.0,43.82054,11.22013,4,1.0,1.0,0.0,29.0,2,10.0,10,40,70,155,260,26,97.0,2.69,2011.0,0,0,42.0
2.0,43.77293,11.2604,4,1.0,1.0,100.0,60.0,2,12.0,8,36,66,336,81,7,92.0,0.88,2011.0,0,0,80.0
3.0,43.76801,11.27248,4,1.0,1.0,0.0,40.0,1,15.0,4,19,37,127,16,12,100.0,1.1,2011.0,0,0,59.0
3.0,43.76941,11.25576,2,1.5,1.0,100.0,25.0,1,30.0,3,27,53,143,250,69,94.0,3.05,2011.0,0,1,36.0
1.0,43.772,11.28568,2,1.0,1.0,0.0,35.0,1,19.0,8,32,62,326,432,64,97.0,4.87,2011.0,0,1,44.0
5.0,43.76676,11.24394,4,1.0,1.0,0.0,20.0,2,10.0,2,2,2,267,153,7,89.0,1.61,2011.0,0,0,55.0
22.0,43.76723,11.25017,3,1.0,1.0,200.0,50.0,2,10.0,8,31,61,282,111,7,98.0,1.15,2010.0,0,0,83.0
4.0,43.76843,11.24295,4,1.0,1.0,0.0,35.0,2,10.0,3,5,35,263,41,6,96.0,0.45,2011.0,0,0,70.0
1.0,43.77504,11.25284,1,2.0,1.0,0.0,10.0,1,0.0,19,49,79,169,328,40,97.0,3.39,2011.0,0,1,54.0
3.0,43.77227,11.25759,3,1.0,1.0,250.0,40.0,1,7.0,0,0,0,0,15,5,91.0,0.17,2011.0,0,0,75.0
1.0,43.77206,11.26069,4,1.0,2.0,0.0,50.0,2,10.0,1,25,55,145,75,6,91.0,0.83,2011.0,0,0,80.0
1.0,43.77992,11.23435,4,1.0,1.0,0.0,0.0,2,10.0,19,49,79,354,81,22,97.0,0.92,2011.0,0,0,90.0
22.0,43.77305,11.247,6,1.0,2.0,250.0,60.0,4,5.0,14,24,49,316,147,30,95.0,1.56,2010.0,0,0,100.0
81.0,43.76584,11.25035,4,1.0,1.0,90.0,42.0,1,0.0,17,47,77,78,326,52,87.0,3.39,2011.0,0,0,58.0
